Customer,SalesOrg,Time,DistributionChannel,FulfillmentMethod,Currency,UOM,Vendor,Store,RetailItemNumber,UPC,GTIN,Material,TCINNo,StoreCount,OnOrderQty,RetailerCost,RetailerPrice,WarehouseInv,OnhandInv,POSSales,POSSalesUnits,TotalInv,InStock,OutStock,unsellableOnHandUnits,unsellableOnHandUnitsAmount,sellableOnHandInventoryAmount,TotalInvValue
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B09J8JW8Y4,,,,,,0,,12.49,,0,24.98,2,,,,0,0.00,0.00,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0CCW3HKXB,,,,,,3050,,10.82,,179,119.02,11,179,,,0,0.00,1616.37,1936.78
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0BHX8Q9C4,,,,,,60,,24.99,,50,74.97,3,50,,,0,0.00,1125.00,1249.50
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B09RQWGTPG,,,,,,0,,14.95,,2167,89.71,6,2167,,,0,0.00,34278.89,32396.65
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0971RWP1K,,,,,,0,,0.00,,0,0.00,0,0,,,1,18.74,0.00,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B09BVNH5K3,,,,,,0,,28.02,,246,28.02,1,246,,,0,0.00,6438.60,6892.92
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0BT1WFD9V,,,,,,0,,19.16,,97,114.96,6,97,,,0,0.00,1002.46,1858.52
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0BRQXKW3C,,,,,,0,,20.82,,225,582.96,28,225,,,0,0.00,3514.41,4684.50
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B07WGHZMH1,,,,,,1076,,12.48,,0,574.54,46,0,,,1,5.37,0.00,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B08T1N7X8M,,,,,,0,,9.62,,79,163.54,17,79,,,0,0.00,583.81,759.98
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B09J8GR28W,,,,,,0,,13.60,,390,54.40,4,390,,,0,0.00,3725.77,5304.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B08T1XQM1X,,,,,,0,,10.48,,5,2768.50,264,5,,,0,0.00,45.15,52.40
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0BRT6KM9X,,,,,,175,,13.99,,8,111.92,8,8,,,2,20.30,125.04,111.92
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B09BFZ8KLK,,,,,,0,,12.49,,60,87.43,7,60,,,0,0.00,607.20,749.40
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0BT1SHQ2J,,,,,,13,,13.52,,150,67.60,5,150,,,0,0.00,1224.03,2028.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B08SWKD5BL,,,,,,,,52.27,,0,104.55,2,,,,0,0.00,0.00,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B08P5YS5N1,,,,,,996,,24.99,,0,49.98,2,,,,0,0.00,0.00,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0883LG9XG,,,,,,0,,16.66,,0,166.60,10,,,,0,0.00,0.00,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B09V5R3KFY,,,,,,0,,12.48,,378,137.39,11,378,,,1,9.38,3545.64,4717.44
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B09NP3NMMM,,,,,,0,,17.78,,773,-17.78,-1,773,,,0,0.00,10494.01,13743.94
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0BRT8YV8K,,,,,,0,,29.92,,8,329.17,11,8,,,0,0.00,174.96,239.36
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B08S7K59Y2,,,,,,4911,,23.25,,2511,4696.50,202,2511,,,0,0.00,32684.55,58380.75
